GEO_ID,NAME,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E
1400000US25005631101,Census Tract 6311.01; Bristol County; Massachusetts,1464,183,0,164,63,165,187,137,306,158,101,66932,87945
1400000US25005631102,Census Tract 6311.02; Bristol County; Massachusetts,1704,76,16,46,73,210,222,362,353,173,173,90781,111575
1400000US25005631200,Census Tract 6312; Bristol County; Massachusetts,2816,86,89,96,99,239,285,281,514,350,777,123081,151033
1400000US25005631300,Census Tract 6313; Bristol County; Massachusetts,2151,42,40,174,55,152,232,423,342,310,381,99219,124013
1400000US25005631400,Census Tract 6314; Bristol County; Massachusetts,1390,66,17,177,123,256,165,138,292,39,117,55227,76737
1400000US25005631500,Census Tract 6315; Bristol County; Massachusetts,1210,18,0,139,131,86,192,222,254,112,56,82768,88707
1400000US25005631600,Census Tract 6316; Bristol County; Massachusetts,1401,102,9,222,205,122,144,167,258,89,83,65125,75459
1400000US25005631700,Census Tract 6317; Bristol County; Massachusetts,2433,7,0,130,129,171,418,269,460,537,312,111420,125575
1400000US25005631800,Census Tract 6318; Bristol County; Massachusetts,3212,71,113,254,265,279,382,279,771,395,403,96554,111232
1400000US25005632100,Census Tract 6321; Bristol County; Massachusetts,2648,57,0,76,158,196,236,315,707,246,657,115049,142054
1400000US25005632200,Census Tract 6322; Bristol County; Massachusetts,3199,158,56,183,160,278,265,213,717,578,591,119617,127408
1400000US25005633100,Census Tract 6331; Bristol County; Massachusetts,2184,46,52,18,96,149,398,275,447,184,519,108417,132103
1400000US25005633200,Census Tract 6332; Bristol County; Massachusetts,2459,0,61,110,0,65,349,241,527,431,675,142439,151843
1400000US25005640100,Census Tract 6401; Bristol County; Massachusetts,1997,110,202,96,220,126,198,218,251,206,370,80197,103222
1400000US25005640201,Census Tract 6402.01; Bristol County; Massachusetts,1083,93,123,91,52,232,209,198,20,65,0,48453,54230
1400000US25005640202,Census Tract 6402.02; Bristol County; Massachusetts,1907,203,265,219,248,330,295,99,74,71,103,35413,53529
1400000US25005640300,Census Tract 6403; Bristol County; Massachusetts,1718,103,75,188,124,95,263,256,275,282,57,75671,83551
1400000US25005640400,Census Tract 6404; Bristol County; Massachusetts,1383,211,8,105,150,130,260,88,204,207,20,60538,72551
1400000US25005640500,Census Tract 6405; Bristol County; Massachusetts,2574,222,306,229,136,456,330,300,365,220,10,48664,61074
1400000US25005640600,Census Tract 6406; Bristol County; Massachusetts,2097,142,181,413,148,223,271,383,211,61,64,43783,59748
1400000US25005640700,Census Tract 6407; Bristol County; Massachusetts,1110,42,38,16,125,143,202,143,218,104,79,74236,92261
1400000US25005640800,Census Tract 6408; Bristol County; Massachusetts,1453,49,41,68,176,180,354,113,279,62,131,68087,86718
1400000US25005640901,Census Tract 6409.01; Bristol County; Massachusetts,2028,163,188,222,37,412,274,195,418,70,49,47315,64424
1400000US25005641000,Census Tract 6410; Bristol County; Massachusetts,1354,92,84,257,310,89,228,182,87,25,0,31385,46759
1400000US25005641101,Census Tract 6411.01; Bristol County; Massachusetts,1014,151,145,246,53,171,131,21,91,5,0,24069,36756
1400000US25005641200,Census Tract 6412; Bristol County; Massachusetts,1543,104,185,290,164,177,322,174,87,0,40,36484,49951
1400000US25005641300,Census Tract 6413; Bristol County; Massachusetts,2444,246,127,371,327,254,306,168,355,253,37,39421,64022
1400000US25005641400,Census Tract 6414; Bristol County; Massachusetts,1612,315,292,71,265,158,87,184,143,12,85,29866,50136
1400000US25005641500,Census Tract 6415; Bristol County; Massachusetts,1282,59,126,177,140,97,226,71,292,54,40,53963,74392
1400000US25005641600,Census Tract 6416; Bristol County; Massachusetts,1081,73,75,93,118,143,152,118,92,148,69,52468,80176
1400000US25005641700,Census Tract 6417; Bristol County; Massachusetts,2312,33,176,118,298,281,408,368,406,68,156,66335,94514
1400000US25005641800,Census Tract 6418; Bristol County; Massachusetts,980,61,31,145,56,130,236,98,104,65,54,58090,77797
1400000US25005641900,Census Tract 6419; Bristol County; Massachusetts,1199,31,58,121,139,243,269,170,168,0,0,55354,57961
1400000US25005642000,Census Tract 6420; Bristol County; Massachusetts,1756,67,174,246,146,241,506,180,146,38,12,50222,55147
1400000US25005642100,Census Tract 6421; Bristol County; Massachusetts,2158,278,232,100,239,241,383,319,130,236,0,48750,59951
1400000US25005642200,Census Tract 6422; Bristol County; Massachusetts,1495,188,72,101,141,121,236,189,313,106,28,64432,73328
1400000US25005642300,Census Tract 6423; Bristol County; Massachusetts,836,19,22,33,40,67,92,50,235,73,205,121250,139724
1400000US25005642400,Census Tract 6424; Bristol County; Massachusetts,1301,139,41,39,28,178,212,81,292,79,212,77411,99779
1400000US25005642500,Census Tract 6425; Bristol County; Massachusetts,2070,101,27,56,16,167,304,285,598,360,156,106875,111580
1400000US25005644101,Census Tract 6441.01; Bristol County; Massachusetts,2669,62,0,116,134,131,371,354,824,330,347,110590,119823
1400000US25005644102,Census Tract 6441.02; Bristol County; Massachusetts,1857,48,66,97,99,145,109,254,357,361,321,113005,129575
1400000US25005644200,Census Tract 6442; Bristol County; Massachusetts,2826,59,143,137,16,211,175,512,638,407,528,118333,154101
1400000US25005645101,Census Tract 6451.01; Bristol County; Massachusetts,2136,18,58,147,51,222,313,210,355,449,313,115556,118632
1400000US25005645102,Census Tract 6451.02; Bristol County; Massachusetts,2284,14,0,130,86,152,273,255,441,535,398,122500,129320
1400000US25005645103,Census Tract 6451.03; Bristol County; Massachusetts,2321,24,136,132,98,88,214,311,461,435,422,109688,128711
1400000US25005646101,Census Tract 6461.01; Bristol County; Massachusetts,3032,69,53,180,288,215,421,544,571,270,421,87543,111734
1400000US25005646103,Census Tract 6461.03; Bristol County; Massachusetts,2420,74,51,146,97,149,241,299,363,552,448,115588,129644
1400000US25005646104,Census Tract 6461.04; Bristol County; Massachusetts,1324,0,18,9,35,156,149,149,318,232,258,116058,162798
1400000US25005650101,Census Tract 6501.01; Bristol County; Massachusetts,2230,111,97,152,162,96,324,318,518,153,299,88772,105615
1400000US25005650102,Census Tract 6501.02; Bristol County; Massachusetts,2000,120,102,207,111,172,375,363,150,305,95,67813,82260
1400000US25005650201,Census Tract 6502.01; Bristol County; Massachusetts,1187,38,31,61,50,110,164,85,330,149,169,106230,115889
1400000US25005650202,Census Tract 6502.02; Bristol County; Massachusetts,788,44,20,21,87,90,126,112,196,79,13,76500,82233
1400000US25005650300,Census Tract 6503; Bristol County; Massachusetts,1376,83,23,58,102,167,220,133,359,136,95,86667,91571
1400000US25005650400,Census Tract 6504; Bristol County; Massachusetts,1668,158,26,156,136,153,380,206,325,30,98,60179,74318
1400000US25005650500,Census Tract 6505; Bristol County; Massachusetts,1777,19,42,219,155,276,447,235,220,105,59,60060,71986
1400000US25005650600,Census Tract 6506; Bristol County; Massachusetts,1542,215,33,241,144,266,348,52,203,14,26,41903,54602
