id,name,status,latitude,longitude,hu,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,municipal,nhood,n_transit
4118,Convention Center Hotel,completed,42.3459953043545,-71.043313285414,0,0,0,0,0,0,Boston,South Boston Waterfront,"[""Rapid Transit: World Trade Center""]"
3910,Olde Harbor Estates,completed,41.7571801894775,-70.4889487670285,7,0,0,0,0,0,Sandwich,,"[""RTA: CCRTA""]"
453,Truro Tradesman's Park,completed,42.013293579065,-70.0709173742317,0,0,0,0,0,0,Truro,,"[""RTA: CCRTA""]"
1568,120 Waverly Street - Framingham Salvage Co.,completed,42.2792470394559,-71.4040387948412,0,0,0,0,0,0,Framingham,,"[""RTA: MWRTA""]"
394,Inspection Bay Addition ,completed,42.3352281303793,-71.8372069833837,0,0,0,0,0,0,Holden,,[]
247,140 Cambridgepark Drive Garage,completed,42.3940409834303,-71.1464211639834,0,0,0,0,0,0,Cambridge,North Cambridge,"[""Rapid Transit: Alewife""]"
239,Wentworth - Flanagan Campus Center at Beatty Hall,completed,42.3355960214304,-71.0956292257825,0,0,0,0,0,0,Boston,Mission Hill,"[""Rapid Transit: Museum Of Fine Arts""]"
392,WRTA Bus Maintenance and Operations Facility ,completed,42.2494627471793,-71.8053701117062,0,0,0,0,0,0,Worcester,,"[""RTA: WRTA""]"
2836,Homewood Suites Worcester,completed,42.2631714668003,-71.7944801509576,0,0,0,0,0,0,Worcester,,"[""Commuter Rail: Worcester""]"
509,Former Lunt Silversmith Mill Property,completed,42.6005654536059,-72.5951871360368,0,0,0,0,0,0,Greenfield,,"[""RTA: FRTA""]"
1659,North Quincy Hotel,completed,42.2735699695854,-71.0300247780529,0,0,0,,,0,Quincy,North Quincy,"[""Rapid Transit: North Quincy""]"
195,Logan Airport Green Bus Depot,completed,42.363240309448,-71.0257254583097,0,0,0,0,0,0,Boston,East Boston,"[""Rapid Transit: Airport Terminal A""]"
4593,Town Line Estates,completed,42.1371650731498,-71.3894297493148,2,0,0,0,0,0,Medway,,"[""RTA: GATRA""]"
2787,Hingham High School Turf Fields,completed,42.2249405392479,-70.879079155825,0,0,0,0,0,0,Hingham,,[]
3835,Wollaston Station Renovation,completed,42.2667853663164,-71.0203571422056,0,0,0,0,0,0,Quincy,Wollaston,"[""Rapid Transit: Wollaston""]"
1886,Hibernian Hall,completed,42.3287843335852,-71.0820621203099,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Dudley Square""]"
4438,20 Acorn Park/ 500 Discovery Park,completed,42.3984354947052,-71.1472519149771,0,0,0,0,0,0,Cambridge,North Cambridge,"[""Rapid Transit: Alewife""]"
4179,Silverbrick Lofts,completed,42.1051056381831,-72.5928001060118,282,0,0,0,0,0,Springfield,,"[""RTA: PVTA""]"
3442,Stop & Shop Gas,completed,42.3762260158063,-71.5628549044855,0,0,0,0,0,0,Hudson,,[]
2910,Cambridge Savings Bank,completed,42.4894202269441,-71.2732492643031,0,0,0,0,0,0,Bedford,,[]
2055,Four Points Sheraton,completed,42.4293118183543,-71.0152122477605,0,0,0,0,0,0,Revere,,[]
4430,20-22 Hurley Street/First Street PUD - Parcel C/85-121 First Street,completed,42.3678227060484,-71.0782059301006,18,4,0,0,4,0,Cambridge,East Cambridge,"[""Rapid Transit: Lechmere""]"
4841,115 Winthrop Square,completed,42.3545313545415,-71.0571290998828,321,150,0,0,150,0,Boston,Downtown,"[""Rapid Transit: South Station""]"
3826,301-303 Border Street ,completed,42.377844565941,-71.0397282479346,64,8,0,0,8,0,Boston,East Boston,"[""MBTA Key Bus Route: 116"", ""MBTA Key Bus Route: 117""]"
1306,North Quincy MBTA Redevelopment (The Abby),completed,42.276014915409,-71.0296248459002,610,0,0,0,0,0,Quincy,North Quincy,"[""Rapid Transit: North Quincy""]"
2006,1580 River Street,completed,42.2479417562382,-71.1318860322752,32,4,0,0,0,4,Boston,Hyde Park,"[""MBTA Key Bus Route: 32""]"
5088,735 Truman Parkway,completed,42.2516558565156,-71.1205894583134,46,6,0,0,6,0,Boston,Hyde Park,"[""Commuter Rail: Fairmount""]"
1675,"One Canal (Parcel 2A,B&C Bullfinch Triangle)",completed,42.3641239069022,-71.0590121085523,320,0,0,0,0,0,Boston,West End,"[""Rapid Transit: Haymarket""]"
1567,1 Edgell Road,completed,42.3006125623543,-71.4342256209969,0,0,0,0,0,0,Framingham,,"[""RTA: MWRTA""]"
1656,Village at Cook's Farm,completed,42.0770777638075,-71.3691989688371,55,0,0,0,0,0,Franklin,,[]
1609,Danforth Green (PUD),completed,42.3308141225905,-71.3934737616985,353,0,0,0,0,0,Framingham,,[]
1831,Public Safety Facility,completed,42.114145084489,-71.1874527631676,0,0,0,0,0,0,Sharon,,[]
3807,Brewster Ambulance Service Headquaters - 25 Main St,completed,42.2066433337882,-70.9571009232954,0,0,0,0,0,0,Weymouth,,[]
3259,65 Grove Street (Old Ionics Building),completed,42.3696941440277,-71.154028525949,0,0,0,0,0,0,Watertown,,"[""MBTA Key Bus Route: 73"", ""MBTA Key Bus Route: 71""]"
1184,Benjamin Studley Farm,completed,42.1928542453003,-70.7650134715867,9,0,0,0,0,0,Scituate,,[]
3345,New Westwood Police Headquarters,completed,42.2279812082366,-71.2205664105071,0,0,0,0,0,0,Westwood,,[]
3728,Residences at Great Pond,completed,42.2058991920944,-71.0502200877414,240,0,0,0,0,0,Randolph,,[]
3477,655 Cochituate Road,completed,42.3074035631057,-71.3853832400941,0,0,0,0,0,0,Framingham,,"[""RTA: MWRTA""]"
34,Sterling Hill Stoneham,completed,42.4504359489324,-71.0876092903391,48,0,0,0,0,0,Stoneham,,[]
5096,50 Stedman Street,completed,42.3034123821676,-71.1079280831882,21,4,0,0,4,0,Boston,Jamaica Plain,"[""Rapid Transit: Forest Hills""]"
280,Bentley Multipurpose Arena,completed,42.3848374339472,-71.2207098772496,0,0,0,0,0,0,Waltham,,[]
1081,Needham Mews,completed,42.2845905432841,-71.2072751935034,266,66,0,0,66,0,Needham,,[]
344,Mill and Main,completed,42.4312245788066,-71.4558055034053,0,0,0,0,0,0,Maynard,,[]
2265,Alexan,completed,42.1857535807841,-70.9421669993539,242,0,0,0,0,0,Weymouth,,[]
350,Durkee Farm Estates,completed,42.5190806360748,-71.4983256180082,28,0,0,0,0,0,Littleton,,"[""Commuter Rail: Littleton/Route 495""]"
1088,The Villages at Sawmill Woods,completed,41.9476883886022,-70.7236748577533,200,0,0,0,0,0,Plymouth,,"[""RTA: GATRA""]"
1548,20 Taft Hill Park,completed,42.2877429692015,-71.1282644163173,19,0,0,0,0,0,Boston,Roslindale,"[""Commuter Rail: Roslindale Village""]"
3900,Autumn Gates Estates Traditional Subdivision ,completed,42.1930657851721,-71.7313513129762,27,0,0,0,0,0,Millbury,,[]
1220,Bradford Development,completed,42.3805663873442,-71.1750976613333,115,0,0,0,0,0,Belmont,,"[""MBTA Key Bus Route: 73""]"
355,The Shoppes at Simonds Park,completed,42.5079320134278,-71.1960204802549,0,0,0,0,0,0,Burlington,,[]
730,22 Boston Wharf Road,completed,42.350289060025,-71.0470149299362,0,0,0,0,0,0,Boston,South Boston Waterfront,"[""Rapid Transit: Courthouse""]"
1529,Drumlin Farm Wildlife Sanctuary Environmental Learning Center,completed,42.4079947167883,-71.329666546804,0,0,0,0,0,0,Lincoln,,"[""Commuter Rail: Lincoln""]"
2160,Uplands,completed,42.3995240529577,-71.1548189849399,299,60,0,60,0,0,Belmont,,[]
2267,Aura at Weymouth,completed,42.1903626672974,-70.9497234151597,24,0,0,0,0,0,Weymouth,,[]
1764,Riverside,completed,42.4713927272522,-71.6315506237968,1,0,0,0,0,0,Bolton,,[]
